      step       potential         kinetic           total               T
         0   -0.214235E+03    0.945000E+01   -0.204785E+03    0.100000E+00
         1   -0.214231E+03    0.944598E+01   -0.204785E+03    0.999574E-01
         2   -0.214219E+03    0.943392E+01   -0.204786E+03    0.998298E-01
         3   -0.214200E+03    0.941385E+01   -0.204786E+03    0.996174E-01
         4   -0.214173E+03    0.938581E+01   -0.204787E+03    0.993208E-01
         5   -0.214138E+03    0.934990E+01   -0.204789E+03    0.989407E-01
         6   -0.214096E+03    0.930618E+01   -0.204790E+03    0.984781E-01
         7   -0.214047E+03    0.925477E+01   -0.204792E+03    0.979341E-01
         8   -0.213990E+03    0.919582E+01   -0.204794E+03    0.973102E-01
         9   -0.213926E+03    0.912946E+01   -0.204796E+03    0.966080E-01
        10   -0.213855E+03    0.905587E+01   -0.204799E+03    0.958293E-01
        11   -0.213777E+03    0.897525E+01   -0.204802E+03    0.949762E-01
        12   -0.213693E+03    0.888780E+01   -0.204805E+03    0.940508E-01
        13   -0.213602E+03    0.879375E+01   -0.204808E+03    0.930555E-01
        14   -0.213505E+03    0.869335E+01   -0.204812E+03    0.919931E-01
        15   -0.213403E+03    0.858686E+01   -0.204816E+03    0.908663E-01
        16   -0.213295E+03    0.847457E+01   -0.204820E+03    0.896779E-01
        17   -0.213181E+03    0.835676E+01   -0.204824E+03    0.884313E-01
        18   -0.213063E+03    0.823375E+01   -0.204829E+03    0.871296E-01
        19   -0.212940E+03    0.810586E+01   -0.204834E+03    0.857763E-01
        20   -0.212812E+03    0.797343E+01   -0.204839E+03    0.843749E-01
        21   -0.212681E+03    0.783681E+01   -0.204844E+03    0.829292E-01
        22   -0.212546E+03    0.769636E+01   -0.204849E+03    0.814430E-01
        23   -0.212407E+03    0.755246E+01   -0.204855E+03    0.799202E-01
        24   -0.212266E+03    0.740547E+01   -0.204861E+03    0.783648E-01
        25   -0.212122E+03    0.725581E+01   -0.204867E+03    0.767810E-01
        26   -0.211976E+03    0.710385E+01   -0.204873E+03    0.751730E-01
        27   -0.211829E+03    0.695000E+01   -0.204879E+03    0.735450E-01
        28   -0.211680E+03    0.679468E+01   -0.204885E+03    0.719014E-01
        29   -0.211530E+03    0.663828E+01   -0.204891E+03    0.702464E-01
        30   -0.211379E+03    0.648124E+01   -0.204898E+03    0.685845E-01
        31   -0.211229E+03    0.632395E+01   -0.204905E+03    0.669201E-01
        32   -0.211078E+03    0.616684E+01   -0.204911E+03    0.652576E-01
        33   -0.210929E+03    0.601033E+01   -0.204918E+03    0.636013E-01
        34   -0.210780E+03    0.585481E+01   -0.204925E+03    0.619557E-01
        35   -0.210633E+03    0.570072E+01   -0.204932E+03    0.603251E-01
        36   -0.210488E+03    0.554844E+01   -0.204939E+03    0.587137E-01
        37   -0.210345E+03    0.539838E+01   -0.204946E+03    0.571258E-01
        38   -0.210204E+03    0.525094E+01   -0.204954E+03    0.555655E-01
        39   -0.210067E+03    0.510649E+01   -0.204961E+03    0.540369E-01
        40   -0.209933E+03    0.496541E+01   -0.204968E+03    0.525440E-01
        41   -0.209803E+03    0.482806E+01   -0.204975E+03    0.510906E-01
        42   -0.209677E+03    0.469481E+01   -0.204982E+03    0.496805E-01
        43   -0.209556E+03    0.456598E+01   -0.204990E+03    0.483172E-01
        44   -0.209439E+03    0.444191E+01   -0.204997E+03    0.470043E-01
        45   -0.209327E+03    0.432291E+01   -0.205004E+03    0.457450E-01
        46   -0.209220E+03    0.420927E+01   -0.205011E+03    0.445425E-01
        47   -0.209120E+03    0.410128E+01   -0.205018E+03    0.433998E-01
        48   -0.209025E+03    0.399920E+01   -0.205025E+03    0.423196E-01
        49   -0.208936E+03    0.390327E+01   -0.205032E+03    0.413045E-01
        50   -0.208853E+03    0.381373E+01   -0.205039E+03    0.403570E-01
        51   -0.208777E+03    0.373079E+01   -0.205046E+03    0.394792E-01
        52   -0.208708E+03    0.365462E+01   -0.205053E+03    0.386732E-01
        53   -0.208645E+03    0.358539E+01   -0.205060E+03    0.379407E-01
        54   -0.208590E+03    0.352326E+01   -0.205067E+03    0.372832E-01
        55   -0.208542E+03    0.346835E+01   -0.205073E+03    0.367021E-01
        56   -0.208501E+03    0.342076E+01   -0.205080E+03    0.361986E-01
        57   -0.208467E+03    0.338058E+01   -0.205087E+03    0.357733E-01
        58   -0.208441E+03    0.334786E+01   -0.205093E+03    0.354271E-01
        59   -0.208422E+03    0.332264E+01   -0.205099E+03    0.351602E-01
        60   -0.208411E+03    0.330494E+01   -0.205106E+03    0.349730E-01
        61   -0.208406E+03    0.329476E+01   -0.205112E+03    0.348652E-01
        62   -0.208410E+03    0.329205E+01   -0.205118E+03    0.348366E-01
        63   -0.208421E+03    0.329679E+01   -0.205124E+03    0.348866E-01
        64   -0.208439E+03    0.330888E+01   -0.205130E+03    0.350146E-01
        65   -0.208464E+03    0.332825E+01   -0.205135E+03    0.352195E-01
        66   -0.208496E+03    0.335477E+01   -0.205141E+03    0.355002E-01
        67   -0.208535E+03    0.338832E+01   -0.205147E+03    0.358552E-01
        68   -0.208581E+03    0.342874E+01   -0.205152E+03    0.362829E-01
        69   -0.208634E+03    0.347586E+01   -0.205158E+03    0.367815E-01
        70   -0.208693E+03    0.352949E+01   -0.205163E+03    0.373491E-01
        71   -0.208758E+03    0.358942E+01   -0.205168E+03    0.379833E-01
        72   -0.208829E+03    0.365543E+01   -0.205174E+03    0.386818E-01
        73   -0.208906E+03    0.372728E+01   -0.205179E+03    0.394421E-01
        74   -0.208988E+03    0.380471E+01   -0.205184E+03    0.402615E-01
        75   -0.209076E+03    0.388745E+01   -0.205189E+03    0.411371E-01
        76   -0.209169E+03    0.397522E+01   -0.205194E+03    0.420659E-01
        77   -0.209266E+03    0.406773E+01   -0.205199E+03    0.430448E-01
        78   -0.209368E+03    0.416466E+01   -0.205203E+03    0.440705E-01
        79   -0.209474E+03    0.426571E+01   -0.205208E+03    0.451397E-01
        80   -0.209584E+03    0.437053E+01   -0.205213E+03    0.462490E-01
        81   -0.209697E+03    0.447881E+01   -0.205218E+03    0.473948E-01
        82   -0.209813E+03    0.459019E+01   -0.205222E+03    0.485735E-01
        83   -0.209931E+03    0.470434E+01   -0.205227E+03    0.497814E-01
        84   -0.210053E+03    0.482090E+01   -0.205232E+03    0.510148E-01
        85   -0.210176E+03    0.493951E+01   -0.205236E+03    0.522699E-01
        86   -0.210301E+03    0.505981E+01   -0.205241E+03    0.535430E-01
        87   -0.210427E+03    0.518146E+01   -0.205246E+03    0.548302E-01
        88   -0.210554E+03    0.530408E+01   -0.205250E+03    0.561278E-01
        89   -0.210682E+03    0.542732E+01   -0.205255E+03    0.574319E-01
        90   -0.210811E+03    0.555082E+01   -0.205260E+03    0.587388E-01
        91   -0.210939E+03    0.567422E+01   -0.205265E+03    0.600447E-01
        92   -0.211067E+03    0.579718E+01   -0.205269E+03    0.613458E-01
        93   -0.211194E+03    0.591935E+01   -0.205274E+03    0.626386E-01
        94   -0.211320E+03    0.604039E+01   -0.205279E+03    0.639195E-01
        95   -0.211444E+03    0.615996E+01   -0.205284E+03    0.651848E-01
        96   -0.211567E+03    0.627775E+01   -0.205289E+03    0.664312E-01
        97   -0.211688E+03    0.639342E+01   -0.205294E+03    0.676553E-01
        98   -0.211806E+03    0.650668E+01   -0.205300E+03    0.688538E-01
        99   -0.211922E+03    0.661723E+01   -0.205305E+03    0.700236E-01
       100   -0.212035E+03    0.672477E+01   -0.205310E+03    0.711616E-01
       101   -0.212145E+03    0.682904E+01   -0.205316E+03    0.722650E-01
       102   -0.212251E+03    0.692977E+01   -0.205321E+03    0.733309E-01
       103   -0.212354E+03    0.702671E+01   -0.205327E+03    0.743567E-01
       104   -0.212453E+03    0.711963E+01   -0.205333E+03    0.753400E-01
       105   -0.212547E+03    0.720829E+01   -0.205339E+03    0.762782E-01
       106   -0.212638E+03    0.729250E+01   -0.205345E+03    0.771693E-01
       107   -0.212724E+03    0.737205E+01   -0.205352E+03    0.780111E-01
       108   -0.212805E+03    0.744678E+01   -0.205358E+03    0.788019E-01
       109   -0.212881E+03    0.751651E+01   -0.205365E+03    0.795398E-01
       110   -0.212952E+03    0.758111E+01   -0.205371E+03    0.802234E-01
       111   -0.213019E+03    0.764044E+01   -0.205378E+03    0.808512E-01
       112   -0.213080E+03    0.769438E+01   -0.205385E+03    0.814220E-01
       113   -0.213135E+03    0.774285E+01   -0.205392E+03    0.819349E-01
       114   -0.213186E+03    0.778575E+01   -0.205400E+03    0.823889E-01
       115   -0.213230E+03    0.782303E+01   -0.205407E+03    0.827834E-01
       116   -0.213270E+03    0.785464E+01   -0.205415E+03    0.831179E-01
       117   -0.213304E+03    0.788055E+01   -0.205423E+03    0.833921E-01
       118   -0.213332E+03    0.790074E+01   -0.205431E+03    0.836058E-01
       119   -0.213355E+03    0.791523E+01   -0.205439E+03    0.837590E-01
       120   -0.213372E+03    0.792402E+01   -0.205448E+03    0.838521E-01
       121   -0.213384E+03    0.792716E+01   -0.205456E+03    0.838852E-01
       122   -0.213390E+03    0.792469E+01   -0.205465E+03    0.838591E-01
       123   -0.213391E+03    0.791669E+01   -0.205474E+03    0.837745E-01
       124   -0.213387E+03    0.790323E+01   -0.205483E+03    0.836321E-01
       125   -0.213377E+03    0.788443E+01   -0.205493E+03    0.834331E-01
       126   -0.213363E+03    0.786038E+01   -0.205502E+03    0.831787E-01
       127   -0.213343E+03    0.783123E+01   -0.205512E+03    0.828701E-01
       128   -0.213319E+03    0.779710E+01   -0.205522E+03    0.825090E-01
       129   -0.213290E+03    0.775816E+01   -0.205532E+03    0.820969E-01
       130   -0.213257E+03    0.771457E+01   -0.205542E+03    0.816357E-01
       131   -0.213219E+03    0.766652E+01   -0.205553E+03    0.811272E-01
       132   -0.213178E+03    0.761419E+01   -0.205564E+03    0.805734E-01
       133   -0.213132E+03    0.755779E+01   -0.205574E+03    0.799766E-01
       134   -0.213083E+03    0.749754E+01   -0.205585E+03    0.793390E-01
       135   -0.213030E+03    0.743365E+01   -0.205597E+03    0.786630E-01
       136   -0.212974E+03    0.736636E+01   -0.205608E+03    0.779509E-01
       137   -0.212915E+03    0.729592E+01   -0.205619E+03    0.772055E-01
       138   -0.212854E+03    0.722257E+01   -0.205631E+03    0.764293E-01
       139   -0.212789E+03    0.714657E+01   -0.205643E+03    0.756251E-01
       140   -0.212723E+03    0.706818E+01   -0.205655E+03    0.747955E-01
       141   -0.212654E+03    0.698767E+01   -0.205667E+03    0.739436E-01
       142   -0.212584E+03    0.690531E+01   -0.205679E+03    0.730721E-01
       143   -0.212513E+03    0.682139E+01   -0.205691E+03    0.721840E-01
       144   -0.212440E+03    0.673618E+01   -0.205704E+03    0.712823E-01
       145   -0.212367E+03    0.664996E+01   -0.205717E+03    0.703699E-01
       146   -0.212292E+03    0.656302E+01   -0.205729E+03    0.694500E-01
       147   -0.212218E+03    0.647565E+01   -0.205742E+03    0.685254E-01
       148   -0.212143E+03    0.638812E+01   -0.205755E+03    0.675992E-01
       149   -0.212069E+03    0.630073E+01   -0.205768E+03    0.666744E-01
       150   -0.211995E+03    0.621375E+01   -0.205782E+03    0.657540E-01
       151   -0.211923E+03    0.612747E+01   -0.205795E+03    0.648410E-01
       152   -0.211851E+03    0.604216E+01   -0.205809E+03    0.639382E-01
       153   -0.211780E+03    0.595810E+01   -0.205822E+03    0.630487E-01
       154   -0.211711E+03    0.587555E+01   -0.205836E+03    0.621751E-01
       155   -0.211644E+03    0.579477E+01   -0.205849E+03    0.613203E-01
       156   -0.211579E+03    0.571602E+01   -0.205863E+03    0.604870E-01
       157   -0.211517E+03    0.563955E+01   -0.205877E+03    0.596778E-01
       158   -0.211457E+03    0.556559E+01   -0.205891E+03    0.588952E-01
       159   -0.211400E+03    0.549439E+01   -0.205905E+03    0.581417E-01
       160   -0.211346E+03    0.542616E+01   -0.205919E+03    0.574197E-01
       161   -0.211295E+03    0.536111E+01   -0.205934E+03    0.567313E-01
       162   -0.211247E+03    0.529945E+01   -0.205948E+03    0.560788E-01
       163   -0.211204E+03    0.524136E+01   -0.205962E+03    0.554641E-01
       164   -0.211164E+03    0.518703E+01   -0.205977E+03    0.548892E-01
       165   -0.211128E+03    0.513663E+01   -0.205991E+03    0.543558E-01
       166   -0.211096E+03    0.509030E+01   -0.206006E+03    0.538656E-01
       167   -0.211069E+03    0.504819E+01   -0.206020E+03    0.534200E-01
       168   -0.211046E+03    0.501043E+01   -0.206035E+03    0.530204E-01
       169   -0.211027E+03    0.497713E+01   -0.206050E+03    0.526681E-01
       170   -0.211013E+03    0.494840E+01   -0.206065E+03    0.523640E-01
       171   -0.211004E+03    0.492431E+01   -0.206079E+03    0.521091E-01
       172   -0.210999E+03    0.490495E+01   -0.206094E+03    0.519042E-01
       173   -0.211000E+03    0.489036E+01   -0.206109E+03    0.517498E-01
       174   -0.211005E+03    0.488058E+01   -0.206124E+03    0.516464E-01
       175   -0.211015E+03    0.487566E+01   -0.206139E+03    0.515943E-01
       176   -0.211030E+03    0.487559E+01   -0.206154E+03    0.515935E-01
       177   -0.211050E+03    0.488037E+01   -0.206169E+03    0.516442E-01
       178   -0.211075E+03    0.488999E+01   -0.206185E+03    0.517460E-01
       179   -0.211104E+03    0.490442E+01   -0.206200E+03    0.518986E-01
       180   -0.211139E+03    0.492360E+01   -0.206215E+03    0.521015E-01
       181   -0.211178E+03    0.494747E+01   -0.206230E+03    0.523542E-01
       182   -0.211222E+03    0.497596E+01   -0.206246E+03    0.526557E-01
       183   -0.211270E+03    0.500898E+01   -0.206261E+03    0.530051E-01
       184   -0.211323E+03    0.504642E+01   -0.206277E+03    0.534013E-01
       185   -0.211381E+03    0.508817E+01   -0.206292E+03    0.538431E-01
       186   -0.211442E+03    0.513410E+01   -0.206308E+03    0.543291E-01
       187   -0.211508E+03    0.518407E+01   -0.206324E+03    0.548579E-01
       188   -0.211577E+03    0.523792E+01   -0.206340E+03    0.554277E-01
       189   -0.211651E+03    0.529549E+01   -0.206355E+03    0.560369E-01
       190   -0.211728E+03    0.535660E+01   -0.206371E+03    0.566836E-01
       191   -0.211809E+03    0.542107E+01   -0.206388E+03    0.573658E-01
       192   -0.211892E+03    0.548870E+01   -0.206404E+03    0.580815E-01
       193   -0.211979E+03    0.555929E+01   -0.206420E+03    0.588285E-01
       194   -0.212069E+03    0.563264E+01   -0.206436E+03    0.596046E-01
       195   -0.212161E+03    0.570850E+01   -0.206453E+03    0.604074E-01
       196   -0.212256E+03    0.578668E+01   -0.206469E+03    0.612347E-01
       197   -0.212353E+03    0.586692E+01   -0.206486E+03    0.620838E-01
       198   -0.212452E+03    0.594900E+01   -0.206503E+03    0.629523E-01
       199   -0.212552E+03    0.603267E+01   -0.206520E+03    0.638377E-01
       200   -0.212654E+03    0.611768E+01   -0.206537E+03    0.647374E-01
       201   -0.212758E+03    0.620380E+01   -0.206554E+03    0.656487E-01
       202   -0.212862E+03    0.629077E+01   -0.206571E+03    0.665690E-01
       203   -0.212967E+03    0.637834E+01   -0.206589E+03    0.674957E-01
       204   -0.213073E+03    0.646626E+01   -0.206606E+03    0.684261E-01
       205   -0.213178E+03    0.655428E+01   -0.206624E+03    0.693575E-01
       206   -0.213284E+03    0.664215E+01   -0.206642E+03    0.702873E-01
       207   -0.213390E+03    0.672962E+01   -0.206660E+03    0.712129E-01
       208   -0.213495E+03    0.681645E+01   -0.206678E+03    0.721317E-01
       209   -0.213599E+03    0.690239E+01   -0.206697E+03    0.730412E-01
       210   -0.213702E+03    0.698721E+01   -0.206715E+03    0.739388E-01
       211   -0.213805E+03    0.707069E+01   -0.206734E+03    0.748221E-01
       212   -0.213906E+03    0.715258E+01   -0.206753E+03    0.756887E-01
       213   -0.214005E+03    0.723268E+01   -0.206772E+03    0.765363E-01
       214   -0.214102E+03    0.731076E+01   -0.206791E+03    0.773626E-01
       215   -0.214198E+03    0.738664E+01   -0.206811E+03    0.781655E-01
       216   -0.214291E+03    0.746010E+01   -0.206831E+03    0.789429E-01
       217   -0.214382E+03    0.753097E+01   -0.206851E+03    0.796928E-01
       218   -0.214470E+03    0.759906E+01   -0.206871E+03    0.804133E-01
       219   -0.214555E+03    0.766421E+01   -0.206891E+03    0.811027E-01
       220   -0.214638E+03    0.772625E+01   -0.206912E+03    0.817593E-01
       221   -0.214718E+03    0.778506E+01   -0.206933E+03    0.823816E-01
       222   -0.214794E+03    0.784048E+01   -0.206954E+03    0.829681E-01
       223   -0.214867E+03    0.789240E+01   -0.206975E+03    0.835175E-01
       224   -0.214937E+03    0.794071E+01   -0.206996E+03    0.840287E-01
       225   -0.215003E+03    0.798531E+01   -0.207018E+03    0.845006E-01
       226   -0.215066E+03    0.802610E+01   -0.207040E+03    0.849323E-01
       227   -0.215125E+03    0.806303E+01   -0.207062E+03    0.853231E-01
       228   -0.215181E+03    0.809603E+01   -0.207085E+03    0.856723E-01
       229   -0.215232E+03    0.812505E+01   -0.207107E+03    0.859794E-01
       230   -0.215280E+03    0.815006E+01   -0.207130E+03    0.862441E-01
       231   -0.215324E+03    0.817105E+01   -0.207153E+03    0.864661E-01
       232   -0.215365E+03    0.818800E+01   -0.207177E+03    0.866455E-01
       233   -0.215401E+03    0.820091E+01   -0.207200E+03    0.867822E-01
       234   -0.215434E+03    0.820982E+01   -0.207224E+03    0.868764E-01
       235   -0.215463E+03    0.821476E+01   -0.207248E+03    0.869287E-01
       236   -0.215488E+03    0.821576E+01   -0.207272E+03    0.869393E-01
       237   -0.215510E+03    0.821290E+01   -0.207297E+03    0.869089E-01
       238   -0.215528E+03    0.820623E+01   -0.207322E+03    0.868384E-01
       239   -0.215543E+03    0.819585E+01   -0.207347E+03    0.867285E-01
       240   -0.215554E+03    0.818184E+01   -0.207372E+03    0.865803E-01
       241   -0.215562E+03    0.816432E+01   -0.207397E+03    0.863950E-01
       242   -0.215567E+03    0.814341E+01   -0.207423E+03    0.861736E-01
       243   -0.215568E+03    0.811923E+01   -0.207449E+03    0.859177E-01
       244   -0.215567E+03    0.809191E+01   -0.207475E+03    0.856287E-01
       245   -0.215563E+03    0.806162E+01   -0.207501E+03    0.853081E-01
       246   -0.215557E+03    0.802850E+01   -0.207528E+03    0.849577E-01
       247   -0.215548E+03    0.799272E+01   -0.207555E+03    0.845791E-01
       248   -0.215536E+03    0.795446E+01   -0.207582E+03    0.841742E-01
       249   -0.215523E+03    0.791390E+01   -0.207609E+03    0.837449E-01
       250   -0.215508E+03    0.787122E+01   -0.207636E+03    0.832933E-01
       251   -0.215491E+03    0.782662E+01   -0.207664E+03    0.828214E-01
       252   -0.215472E+03    0.778030E+01   -0.207692E+03    0.823312E-01
       253   -0.215452E+03    0.773246E+01   -0.207720E+03    0.818250E-01
       254   -0.215431E+03    0.768331E+01   -0.207748E+03    0.813049E-01
       255   -0.215409E+03    0.763306E+01   -0.207776E+03    0.807732E-01
       256   -0.215387E+03    0.758193E+01   -0.207805E+03    0.802321E-01
       257   -0.215364E+03    0.753013E+01   -0.207833E+03    0.796840E-01
       258   -0.215340E+03    0.747788E+01   -0.207862E+03    0.791311E-01
       259   -0.215317E+03    0.742540E+01   -0.207891E+03    0.785757E-01
       260   -0.215293E+03    0.737290E+01   -0.207920E+03    0.780201E-01
       261   -0.215270E+03    0.732059E+01   -0.207950E+03    0.774666E-01
       262   -0.215248E+03    0.726870E+01   -0.207979E+03    0.769175E-01
       263   -0.215226E+03    0.721743E+01   -0.208009E+03    0.763749E-01
       264   -0.215206E+03    0.716699E+01   -0.208039E+03    0.758412E-01
       265   -0.215186E+03    0.711759E+01   -0.208069E+03    0.753184E-01
       266   -0.215168E+03    0.706942E+01   -0.208099E+03    0.748086E-01
       267   -0.215152E+03    0.702267E+01   -0.208129E+03    0.743140E-01
       268   -0.215137E+03    0.697755E+01   -0.208159E+03    0.738365E-01
       269   -0.215124E+03    0.693422E+01   -0.208190E+03    0.733780E-01
       270   -0.215113E+03    0.689287E+01   -0.208220E+03    0.729404E-01
       271   -0.215105E+03    0.685365E+01   -0.208251E+03    0.725254E-01
       272   -0.215098E+03    0.681674E+01   -0.208282E+03    0.721348E-01
       273   -0.215095E+03    0.678227E+01   -0.208313E+03    0.717700E-01
       274   -0.215094E+03    0.675039E+01   -0.208344E+03    0.714327E-01
       275   -0.215096E+03    0.672123E+01   -0.208375E+03    0.711242E-01
       276   -0.215101E+03    0.669492E+01   -0.208406E+03    0.708457E-01
       277   -0.215109E+03    0.667156E+01   -0.208437E+03    0.705985E-01
       278   -0.215120E+03    0.665126E+01   -0.208469E+03    0.703837E-01
       279   -0.215134E+03    0.663410E+01   -0.208500E+03    0.702021E-01
       280   -0.215152E+03    0.662016E+01   -0.208532E+03    0.700546E-01
       281   -0.215173E+03    0.660951E+01   -0.208563E+03    0.699419E-01
       282   -0.215197E+03    0.660221E+01   -0.208595E+03    0.698647E-01
       283   -0.215225E+03    0.659830E+01   -0.208627E+03    0.698233E-01
       284   -0.215257E+03    0.659782E+01   -0.208659E+03    0.698182E-01
       285   -0.215292E+03    0.660078E+01   -0.208691E+03    0.698495E-01
       286   -0.215330E+03    0.660720E+01   -0.208723E+03    0.699174E-01
       287   -0.215372E+03    0.661706E+01   -0.208755E+03    0.700218E-01
       288   -0.215418E+03    0.663037E+01   -0.208788E+03    0.701626E-01
       289   -0.215467E+03    0.664709E+01   -0.208820E+03    0.703396E-01
       290   -0.215520E+03    0.666719E+01   -0.208852E+03    0.705522E-01
       291   -0.215575E+03    0.669061E+01   -0.208885E+03    0.708001E-01
       292   -0.215635E+03    0.671731E+01   -0.208917E+03    0.710826E-01
       293   -0.215697E+03    0.674721E+01   -0.208950E+03    0.713990E-01
       294   -0.215763E+03    0.678023E+01   -0.208983E+03    0.717485E-01
       295   -0.215832E+03    0.681629E+01   -0.209016E+03    0.721300E-01
       296   -0.215904E+03    0.685528E+01   -0.209049E+03    0.725426E-01
       297   -0.215979E+03    0.689710E+01   -0.209082E+03    0.729851E-01
       298   -0.216056E+03    0.694162E+01   -0.209115E+03    0.734563E-01
       299   -0.216137E+03    0.698874E+01   -0.209148E+03    0.739549E-01
       300   -0.216220E+03    0.703831E+01   -0.209181E+03    0.744794E-01
       301   -0.216305E+03    0.709018E+01   -0.209215E+03    0.750284E-01
       302   -0.216392E+03    0.714423E+01   -0.209248E+03    0.756003E-01
       303   -0.216482E+03    0.720028E+01   -0.209282E+03    0.761934E-01
       304   -0.216574E+03    0.725819E+01   -0.209316E+03    0.768062E-01
       305   -0.216667E+03    0.731778E+01   -0.209349E+03    0.774368E-01
       306   -0.216762E+03    0.737889E+01   -0.209383E+03    0.780835E-01
       307   -0.216859E+03    0.744134E+01   -0.209417E+03    0.787444E-01
       308   -0.216957E+03    0.750496E+01   -0.209452E+03    0.794176E-01
       309   -0.217055E+03    0.756957E+01   -0.209486E+03    0.801013E-01
       310   -0.217155E+03    0.763498E+01   -0.209520E+03    0.807935E-01
       311   -0.217256E+03    0.770101E+01   -0.209555E+03    0.814922E-01
       312   -0.217357E+03    0.776748E+01   -0.209589E+03    0.821955E-01
       313   -0.217458E+03    0.783419E+01   -0.209624E+03    0.829015E-01
       314   -0.217560E+03    0.790096E+01   -0.209659E+03    0.836081E-01
       315   -0.217662E+03    0.796761E+01   -0.209694E+03    0.843133E-01
       316   -0.217764E+03    0.803395E+01   -0.209730E+03    0.850153E-01
       317   -0.217865E+03    0.809979E+01   -0.209765E+03    0.857121E-01
       318   -0.217966E+03    0.816497E+01   -0.209801E+03    0.864018E-01
       319   -0.218066E+03    0.822929E+01   -0.209836E+03    0.870825E-01
       320   -0.218165E+03    0.829259E+01   -0.209872E+03    0.877523E-01
       321   -0.218263E+03    0.835469E+01   -0.209908E+03    0.884094E-01
       322   -0.218360E+03    0.841543E+01   -0.209944E+03    0.890522E-01
       323   -0.218455E+03    0.847465E+01   -0.209981E+03    0.896788E-01
       324   -0.218550E+03    0.853218E+01   -0.210017E+03    0.902876E-01
       325   -0.218642E+03    0.858789E+01   -0.210054E+03    0.908771E-01
       326   -0.218733E+03    0.864162E+01   -0.210091E+03    0.914457E-01
       327   -0.218822E+03    0.869323E+01   -0.210128E+03    0.919919E-01
       328   -0.218908E+03    0.874261E+01   -0.210166E+03    0.925144E-01
       329   -0.218993E+03    0.878961E+01   -0.210203E+03    0.930118E-01
       330   -0.219075E+03    0.883414E+01   -0.210241E+03    0.934829E-01
       331   -0.219155E+03    0.887607E+01   -0.210279E+03    0.939266E-01
       332   -0.219232E+03    0.891531E+01   -0.210317E+03    0.943419E-01
       333   -0.219307E+03    0.895177E+01   -0.210355E+03    0.947277E-01
       334   -0.219379E+03    0.898537E+01   -0.210394E+03    0.950832E-01
       335   -0.219449E+03    0.901603E+01   -0.210433E+03    0.954077E-01
       336   -0.219515E+03    0.904368E+01   -0.210472E+03    0.957004E-01
       337   -0.219579E+03    0.906829E+01   -0.210511E+03    0.959607E-01
       338   -0.219640E+03    0.908979E+01   -0.210550E+03    0.961882E-01
       339   -0.219698E+03    0.910815E+01   -0.210590E+03    0.963825E-01
       340   -0.219753E+03    0.912335E+01   -0.210630E+03    0.965434E-01
       341   -0.219805E+03    0.913537E+01   -0.210670E+03    0.966705E-01
       342   -0.219855E+03    0.914420E+01   -0.210710E+03    0.967640E-01
       343   -0.219901E+03    0.914984E+01   -0.210751E+03    0.968237E-01
       344   -0.219944E+03    0.915231E+01   -0.210792E+03    0.968498E-01
       345   -0.219985E+03    0.915163E+01   -0.210833E+03    0.968426E-01
       346   -0.220022E+03    0.914783E+01   -0.210874E+03    0.968024E-01
       347   -0.220057E+03    0.914095E+01   -0.210916E+03    0.967296E-01
       348   -0.220089E+03    0.913103E+01   -0.210958E+03    0.966247E-01
       349   -0.220118E+03    0.911815E+01   -0.211000E+03    0.964883E-01
       350   -0.220144E+03    0.910235E+01   -0.211042E+03    0.963212E-01
       351   -0.220168E+03    0.908373E+01   -0.211084E+03    0.961241E-01
       352   -0.220189E+03    0.906236E+01   -0.211127E+03    0.958980E-01
       353   -0.220208E+03    0.903834E+01   -0.211170E+03    0.956438E-01
       354   -0.220225E+03    0.901177E+01   -0.211213E+03    0.953626E-01
       355   -0.220239E+03    0.898275E+01   -0.211257E+03    0.950555E-01
       356   -0.220252E+03    0.895139E+01   -0.211300E+03    0.947237E-01
       357   -0.220262E+03    0.891783E+01   -0.211344E+03    0.943686E-01
       358   -0.220271E+03    0.888218E+01   -0.211388E+03    0.939913E-01
       359   -0.220277E+03    0.884458E+01   -0.211433E+03    0.935935E-01
       360   -0.220282E+03    0.880517E+01   -0.211477E+03    0.931764E-01
       361   -0.220286E+03    0.876410E+01   -0.211522E+03    0.927418E-01
       362   -0.220289E+03    0.872150E+01   -0.211567E+03    0.922910E-01
       363   -0.220290E+03    0.867754E+01   -0.211613E+03    0.918259E-01
       364   -0.220291E+03    0.863238E+01   -0.211658E+03    0.913479E-01
       365   -0.220290E+03    0.858617E+01   -0.211704E+03    0.908589E-01
       366   -0.220289E+03    0.853907E+01   -0.211750E+03    0.903605E-01
       367   -0.220287E+03    0.849126E+01   -0.211796E+03    0.898546E-01
       368   -0.220286E+03    0.844290E+01   -0.211843E+03    0.893428E-01
       369   -0.220283E+03    0.839416E+01   -0.211889E+03    0.888270E-01
       370   -0.220281E+03    0.834521E+01   -0.211936E+03    0.883090E-01
       371   -0.220280E+03    0.829622E+01   -0.211983E+03    0.877906E-01
       372   -0.220278E+03    0.824736E+01   -0.212031E+03    0.872736E-01
       373   -0.220277E+03    0.819881E+01   -0.212078E+03    0.867598E-01
       374   -0.220277E+03    0.815072E+01   -0.212126E+03    0.862511E-01
       375   -0.220277E+03    0.810328E+01   -0.212174E+03    0.857490E-01
       376   -0.220279E+03    0.805665E+01   -0.212222E+03    0.852556E-01
