      step              pe              ke             nhc           total               T               P
       286   -0.215017E+03    0.685345E+01   -0.182581E+01   -0.209990E+03    0.713901E-01   -0.288245E+00
       287   -0.215063E+03    0.686767E+01   -0.184187E+01   -0.210037E+03    0.715382E-01   -0.291038E+00
       288   -0.215114E+03    0.688775E+01   -0.185802E+01   -0.210084E+03    0.717474E-01   -0.293661E+00
       289   -0.215171E+03    0.691369E+01   -0.187429E+01   -0.210132E+03    0.720176E-01   -0.262094E+00
       290   -0.215235E+03    0.694548E+01   -0.189068E+01   -0.210180E+03    0.723487E-01   -0.264647E+00
       291   -0.215304E+03    0.698306E+01   -0.190722E+01   -0.210228E+03    0.727402E-01   -0.267043E+00
       292   -0.215379E+03    0.702640E+01   -0.192392E+01   -0.210276E+03    0.731916E-01   -0.269281E+00
       293   -0.215459E+03    0.707540E+01   -0.194078E+01   -0.210325E+03    0.737021E-01   -0.271359E+00
       294   -0.215545E+03    0.712999E+01   -0.195782E+01   -0.210373E+03    0.742707E-01   -0.273275E+00
       295   -0.215637E+03    0.719004E+01   -0.197506E+01   -0.210422E+03    0.748963E-01   -0.275027E+00
       296   -0.215735E+03    0.725544E+01   -0.199251E+01   -0.210472E+03    0.755775E-01   -0.276614E+00
       297   -0.215837E+03    0.732604E+01   -0.201018E+01   -0.210521E+03    0.763129E-01   -0.278033E+00
       298   -0.215945E+03    0.740168E+01   -0.202808E+01   -0.210571E+03    0.771008E-01   -0.281541E+00
       299   -0.216057E+03    0.748218E+01   -0.204623E+01   -0.210621E+03    0.779394E-01   -0.282508E+00
       300   -0.216174E+03    0.756736E+01   -0.206462E+01   -0.210672E+03    0.788267E-01   -0.283304E+00
       301   -0.216296E+03    0.765701E+01   -0.208329E+01   -0.210722E+03    0.797605E-01   -0.283927E+00
       302   -0.216422E+03    0.775091E+01   -0.210223E+01   -0.210774E+03    0.807387E-01   -0.284376E+00
       303   -0.216552E+03    0.784883E+01   -0.212145E+01   -0.210825E+03    0.817587E-01   -0.284650E+00
       304   -0.216686E+03    0.795053E+01   -0.214096E+01   -0.210877E+03    0.828180E-01   -0.284747E+00
       305   -0.216824E+03    0.805574E+01   -0.216078E+01   -0.210929E+03    0.839139E-01   -0.284665E+00
       306   -0.216965E+03    0.816420E+01   -0.218090E+01   -0.210982E+03    0.850437E-01   -0.284404E+00
       307   -0.217109E+03    0.827563E+01   -0.220133E+01   -0.211035E+03    0.862045E-01   -0.283962E+00
       308   -0.217256E+03    0.838976E+01   -0.222209E+01   -0.211088E+03    0.873933E-01   -0.317299E+00
       309   -0.217405E+03    0.850627E+01   -0.224316E+01   -0.211142E+03    0.886070E-01   -0.340969E+00
       310   -0.217556E+03    0.862488E+01   -0.226456E+01   -0.211196E+03    0.898424E-01   -0.335461E+00
       311   -0.217710E+03    0.874526E+01   -0.228629E+01   -0.211251E+03    0.910965E-01   -0.334464E+00
       312   -0.217865E+03    0.886711E+01   -0.230835E+01   -0.211306E+03    0.923658E-01   -0.333241E+00
       313   -0.218021E+03    0.899012E+01   -0.233073E+01   -0.211361E+03    0.936470E-01   -0.300531E+00
       314   -0.218178E+03    0.911395E+01   -0.235345E+01   -0.211417E+03    0.949369E-01   -0.272797E+00
       315   -0.218335E+03    0.923828E+01   -0.237649E+01   -0.211474E+03    0.962321E-01   -0.232690E+00
       316   -0.218493E+03    0.936279E+01   -0.239986E+01   -0.211530E+03    0.975291E-01   -0.232612E+00
       317   -0.218651E+03    0.948716E+01   -0.242354E+01   -0.211588E+03    0.988246E-01   -0.232371E+00
       318   -0.218809E+03    0.961105E+01   -0.244755E+01   -0.211646E+03    0.100115E+00   -0.231966E+00
       319   -0.218966E+03    0.973415E+01   -0.247186E+01   -0.211704E+03    0.101397E+00   -0.277954E+00
       320   -0.219122E+03    0.985613E+01   -0.249647E+01   -0.211763E+03    0.102668E+00   -0.267973E+00
       321   -0.219277E+03    0.997668E+01   -0.252138E+01   -0.211822E+03    0.103924E+00   -0.266209E+00
       322   -0.219431E+03    0.100955E+02   -0.254658E+01   -0.211882E+03    0.105161E+00   -0.264445E+00
       323   -0.219582E+03    0.102122E+02   -0.257205E+01   -0.211942E+03    0.106377E+00   -0.262490E+00
       324   -0.219732E+03    0.103266E+02   -0.259779E+01   -0.212003E+03    0.107569E+00   -0.260341E+00
       325   -0.219879E+03    0.104384E+02   -0.262379E+01   -0.212064E+03    0.108733E+00   -0.231609E+00
       326   -0.220023E+03    0.105472E+02   -0.265003E+01   -0.212126E+03    0.109867E+00   -0.229169E+00
       327   -0.220164E+03    0.106528E+02   -0.267649E+01   -0.212188E+03    0.110967E+00   -0.226971E+00
       328   -0.220302E+03    0.107549E+02   -0.270318E+01   -0.212251E+03    0.112031E+00   -0.224595E+00
       329   -0.220437E+03    0.108534E+02   -0.273007E+01   -0.212314E+03    0.113056E+00   -0.222041E+00
       330   -0.220568E+03    0.109478E+02   -0.275714E+01   -0.212378E+03    0.114040E+00   -0.219308E+00
       331   -0.220696E+03    0.110380E+02   -0.278439E+01   -0.212442E+03    0.114980E+00   -0.216397E+00
       332   -0.220819E+03    0.111239E+02   -0.281180E+01   -0.212507E+03    0.115874E+00   -0.188628E+00
       333   -0.220938E+03    0.112051E+02   -0.283935E+01   -0.212572E+03    0.116719E+00   -0.186475E+00
       334   -0.221052E+03    0.112815E+02   -0.286702E+01   -0.212638E+03    0.117515E+00   -0.184157E+00
       335   -0.221162E+03    0.113528E+02   -0.289480E+01   -0.212704E+03    0.118259E+00   -0.181675E+00
       336   -0.221267E+03    0.114191E+02   -0.292268E+01   -0.212770E+03    0.118949E+00   -0.179027E+00
       337   -0.221367E+03    0.114800E+02   -0.295063E+01   -0.212838E+03    0.119584E+00   -0.169224E+00
       338   -0.221462E+03    0.115356E+02   -0.297864E+01   -0.212905E+03    0.120162E+00   -0.146418E+00
       339   -0.221552E+03    0.115855E+02   -0.300668E+01   -0.212973E+03    0.120683E+00   -0.144243E+00
       340   -0.221637E+03    0.116299E+02   -0.303476E+01   -0.213042E+03    0.121145E+00   -0.141916E+00
       341   -0.221716E+03    0.116685E+02   -0.306284E+01   -0.213111E+03    0.121547E+00   -0.139437E+00
       342   -0.221791E+03    0.117014E+02   -0.309091E+01   -0.213180E+03    0.121890E+00   -0.136805E+00
       343   -0.221860E+03    0.117285E+02   -0.311896E+01   -0.213250E+03    0.122172E+00   -0.134022E+00
       344   -0.221923E+03    0.117497E+02   -0.314697E+01   -0.213320E+03    0.122393E+00   -0.131089E+00
       345   -0.221981E+03    0.117651E+02   -0.317492E+01   -0.213391E+03    0.122553E+00   -0.128006E+00
       346   -0.222034E+03    0.117746E+02   -0.320279E+01   -0.213462E+03    0.122652E+00   -0.124775E+00
       347   -0.222081E+03    0.117783E+02   -0.323059E+01   -0.213534E+03    0.122691E+00   -0.121398E+00
       348   -0.222124E+03    0.117763E+02   -0.325828E+01   -0.213606E+03    0.122670E+00   -0.117877E+00
       349   -0.222161E+03    0.117686E+02   -0.328585E+01   -0.213678E+03    0.122589E+00   -0.114214E+00
       350   -0.222193E+03    0.117552E+02   -0.331330E+01   -0.213751E+03    0.122450E+00   -0.110411E+00
       351   -0.222220E+03    0.117363E+02   -0.334061E+01   -0.213824E+03    0.122253E+00   -0.106472E+00
       352   -0.222242E+03    0.117120E+02   -0.336777E+01   -0.213897E+03    0.122000E+00   -0.102399E+00
       353   -0.222259E+03    0.116825E+02   -0.339477E+01   -0.213971E+03    0.121692E+00   -0.981967E-01
       354   -0.222272E+03    0.116478E+02   -0.342159E+01   -0.214045E+03    0.121331E+00   -0.938680E-01
       355   -0.222280E+03    0.116081E+02   -0.344823E+01   -0.214120E+03    0.120918E+00   -0.894171E-01
       356   -0.222284E+03    0.115637E+02   -0.347468E+01   -0.214195E+03    0.120455E+00   -0.848484E-01
       357   -0.222284E+03    0.115147E+02   -0.350092E+01   -0.214270E+03    0.119944E+00   -0.801666E-01
       358   -0.222280E+03    0.114613E+02   -0.352696E+01   -0.214346E+03    0.119388E+00   -0.934165E-01
       359   -0.222272E+03    0.114037E+02   -0.355278E+01   -0.214422E+03    0.118789E+00   -0.101909E+00
       360   -0.222262E+03    0.113422E+02   -0.357838E+01   -0.214498E+03    0.118148E+00   -0.983446E-01
       361   -0.222248E+03    0.112771E+02   -0.360376E+01   -0.214574E+03    0.117470E+00   -0.946717E-01
       362   -0.222231E+03    0.112086E+02   -0.362890E+01   -0.214651E+03    0.116756E+00   -0.908952E-01
       363   -0.222211E+03    0.111369E+02   -0.365381E+01   -0.214728E+03    0.116009E+00   -0.870204E-01
       364   -0.222189E+03    0.110624E+02   -0.367849E+01   -0.214806E+03    0.115233E+00   -0.123379E+00
       365   -0.222166E+03    0.109853E+02   -0.370292E+01   -0.214883E+03    0.114430E+00   -0.119870E+00
       366   -0.222140E+03    0.109060E+02   -0.372711E+01   -0.214961E+03    0.113604E+00   -0.116261E+00
       367   -0.222113E+03    0.108247E+02   -0.375107E+01   -0.215039E+03    0.112757E+00   -0.112559E+00
       368   -0.222085E+03    0.107418E+02   -0.377478E+01   -0.215118E+03    0.111894E+00   -0.108770E+00
       369   -0.222056E+03    0.106576E+02   -0.379825E+01   -0.215197E+03    0.111017E+00   -0.104899E+00
       370   -0.222027E+03    0.105724E+02   -0.382148E+01   -0.215276E+03    0.110130E+00   -0.100953E+00
       371   -0.221997E+03    0.104866E+02   -0.384447E+01   -0.215355E+03    0.109236E+00   -0.113701E+00
       372   -0.221968E+03    0.104005E+02   -0.386723E+01   -0.215434E+03    0.108339E+00   -0.110241E+00
       373   -0.221939E+03    0.103145E+02   -0.388976E+01   -0.215514E+03    0.107442E+00   -0.106717E+00
       374   -0.221911E+03    0.102288E+02   -0.391206E+01   -0.215594E+03    0.106550E+00   -0.128180E+00
       375   -0.221884E+03    0.101438E+02   -0.393414E+01   -0.215674E+03    0.105665E+00   -0.133039E+00
       376   -0.221859E+03    0.100599E+02   -0.395600E+01   -0.215755E+03    0.104791E+00   -0.130525E+00
       377   -0.221835E+03    0.997746E+01   -0.397766E+01   -0.215835E+03    0.103932E+00   -0.127952E+00
       378   -0.221814E+03    0.989670E+01   -0.399911E+01   -0.215916E+03    0.103091E+00   -0.125328E+00
       379   -0.221795E+03    0.981802E+01   -0.402037E+01   -0.215997E+03    0.102271E+00   -0.122658E+00
       380   -0.221779E+03    0.974173E+01   -0.404143E+01   -0.216079E+03    0.101476E+00   -0.119948E+00
       381   -0.221766E+03    0.966815E+01   -0.406232E+01   -0.216160E+03    0.100710E+00   -0.117205E+00
       382   -0.221757E+03    0.959761E+01   -0.408304E+01   -0.216242E+03    0.999751E-01   -0.114434E+00
       383   -0.221751E+03    0.953041E+01   -0.410359E+01   -0.216324E+03    0.992751E-01   -0.111641E+00
       384   -0.221749E+03    0.946684E+01   -0.412400E+01   -0.216406E+03    0.986129E-01   -0.108833E+00
       385   -0.221751E+03    0.940720E+01   -0.414426E+01   -0.216489E+03    0.979916E-01   -0.106015E+00
       386   -0.221759E+03    0.935175E+01   -0.416439E+01   -0.216571E+03    0.974141E-01   -0.103194E+00
       387   -0.221770E+03    0.930077E+01   -0.418440E+01   -0.216654E+03    0.968830E-01   -0.100375E+00
       388   -0.221787E+03    0.925451E+01   -0.420430E+01   -0.216737E+03    0.964011E-01   -0.975626E-01
       389   -0.221809E+03    0.921320E+01   -0.422410E+01   -0.216820E+03    0.959709E-01   -0.947635E-01
       390   -0.221837E+03    0.917708E+01   -0.424382E+01   -0.216904E+03    0.955945E-01   -0.919827E-01
       391   -0.221871E+03    0.914634E+01   -0.426347E+01   -0.216988E+03    0.952744E-01   -0.892251E-01
       392   -0.221910E+03    0.912119E+01   -0.428306E+01   -0.217072E+03    0.950124E-01   -0.864955E-01
       393   -0.221955E+03    0.910180E+01   -0.430260E+01   -0.217156E+03    0.948105E-01   -0.837988E-01
       394   -0.222007E+03    0.908834E+01   -0.432210E+01   -0.217240E+03    0.946702E-01   -0.811392E-01
       395   -0.222064E+03    0.908095E+01   -0.434159E+01   -0.217325E+03    0.945932E-01   -0.785211E-01
       396   -0.222129E+03    0.907974E+01   -0.436107E+01   -0.217410E+03    0.945807E-01   -0.759481E-01
       397   -0.222200E+03    0.908484E+01   -0.438055E+01   -0.217495E+03    0.946338E-01   -0.734241E-01
       398   -0.222277E+03    0.909633E+01   -0.440005E+01   -0.217581E+03    0.947534E-01   -0.709525E-01
       399   -0.222361E+03    0.911427E+01   -0.441959E+01   -0.217667E+03    0.949403E-01   -0.730083E-01
       400   -0.222452E+03    0.913873E+01   -0.443917E+01   -0.217753E+03    0.951951E-01   -0.709291E-01
       401   -0.222550E+03    0.916972E+01   -0.445881E+01   -0.217839E+03    0.955179E-01   -0.689099E-01
       402   -0.222654E+03    0.920726E+01   -0.447853E+01   -0.217925E+03    0.959090E-01   -0.669526E-01
       403   -0.222765E+03    0.925135E+01   -0.449833E+01   -0.218012E+03    0.963682E-01   -0.650591E-01
       404   -0.222883E+03    0.930195E+01   -0.451822E+01   -0.218100E+03    0.968953E-01   -0.632308E-01
       405   -0.223008E+03    0.935901E+01   -0.453823E+01   -0.218187E+03    0.974897E-01   -0.614686E-01
       406   -0.223139E+03    0.942248E+01   -0.455836E+01   -0.218275E+03    0.981508E-01   -0.597736E-01
       407   -0.223277E+03    0.949225E+01   -0.457863E+01   -0.218363E+03    0.988776E-01   -0.581461E-01
       408   -0.223421E+03    0.956824E+01   -0.459904E+01   -0.218452E+03    0.996692E-01   -0.166284E-01
       409   -0.223571E+03    0.965031E+01   -0.461960E+01   -0.218540E+03    0.100524E+00   -0.157945E-01
       410   -0.223728E+03    0.973832E+01   -0.464034E+01   -0.218630E+03    0.101441E+00   -0.150546E-01
       411   -0.223890E+03    0.983211E+01   -0.466124E+01   -0.218719E+03    0.102418E+00   -0.144075E-01
       412   -0.224058E+03    0.993151E+01   -0.468234E+01   -0.218809E+03    0.103453E+00   -0.138518E-01
       413   -0.224232E+03    0.100363E+02   -0.470362E+01   -0.218900E+03    0.104545E+00   -0.133856E-01
       414   -0.224412E+03    0.101463E+02   -0.472511E+01   -0.218990E+03    0.105691E+00   -0.130069E-01
       415   -0.224596E+03    0.102613E+02   -0.474680E+01   -0.219081E+03    0.106889E+00   -0.127133E-01
       416   -0.224785E+03    0.103811E+02   -0.476870E+01   -0.219173E+03    0.108136E+00   -0.125023E-01
       417   -0.224979E+03    0.105053E+02   -0.479082E+01   -0.219265E+03    0.109430E+00   -0.123710E-01
       418   -0.225178E+03    0.106337E+02   -0.481316E+01   -0.219357E+03    0.110768E+00   -0.349667E-01
       419   -0.225381E+03    0.107661E+02   -0.483572E+01   -0.219450E+03    0.112147E+00   -0.348536E-01
