      step              pe              ke             nhc           total               T               P
      1712   -0.236198E+03    0.102400E+02    0.287438E+01   -0.223083E+03    0.106667E+00   -0.379776E+00
      1713   -0.236278E+03    0.102408E+02    0.290316E+01   -0.223134E+03    0.106675E+00   -0.378494E+00
      1714   -0.236357E+03    0.102398E+02    0.293193E+01   -0.223185E+03    0.106665E+00   -0.377137E+00
      1715   -0.236435E+03    0.102371E+02    0.296068E+01   -0.223237E+03    0.106637E+00   -0.375707E+00
      1716   -0.236511E+03    0.102328E+02    0.298940E+01   -0.223289E+03    0.106591E+00   -0.374205E+00
      1717   -0.236586E+03    0.102267E+02    0.301810E+01   -0.223341E+03    0.106528E+00   -0.372633E+00
      1718   -0.236660E+03    0.102190E+02    0.304677E+01   -0.223394E+03    0.106448E+00   -0.379518E+00
      1719   -0.236732E+03    0.102097E+02    0.307540E+01   -0.223447E+03    0.106351E+00   -0.377463E+00
      1720   -0.236803E+03    0.101988E+02    0.310399E+01   -0.223500E+03    0.106237E+00   -0.375335E+00
      1721   -0.236873E+03    0.101863E+02    0.313253E+01   -0.223554E+03    0.106107E+00   -0.373136E+00
      1722   -0.236941E+03    0.101723E+02    0.316102E+01   -0.223608E+03    0.105961E+00   -0.370866E+00
      1723   -0.237009E+03    0.101568E+02    0.318946E+01   -0.223662E+03    0.105800E+00   -0.368527E+00
      1724   -0.237075E+03    0.101399E+02    0.321783E+01   -0.223717E+03    0.105624E+00   -0.366120E+00
      1725   -0.237140E+03    0.101216E+02    0.324614E+01   -0.223772E+03    0.105433E+00   -0.363646E+00
      1726   -0.237204E+03    0.101019E+02    0.327438E+01   -0.223827E+03    0.105229E+00   -0.361107E+00
      1727   -0.237267E+03    0.100810E+02    0.330254E+01   -0.223883E+03    0.105011E+00   -0.375292E+00
      1728   -0.237329E+03    0.100589E+02    0.333063E+01   -0.223939E+03    0.104780E+00   -0.372755E+00
      1729   -0.237390E+03    0.100355E+02    0.335863E+01   -0.223996E+03    0.104537E+00   -0.383970E+00
      1730   -0.237450E+03    0.100111E+02    0.338655E+01   -0.224052E+03    0.104282E+00   -0.381859E+00
      1731   -0.237509E+03    0.998559E+01    0.341438E+01   -0.224109E+03    0.104017E+00   -0.379665E+00
      1732   -0.237568E+03    0.995910E+01    0.344211E+01   -0.224167E+03    0.103741E+00   -0.377388E+00
      1733   -0.237626E+03    0.993168E+01    0.346974E+01   -0.224225E+03    0.103455E+00   -0.375028E+00
      1734   -0.237683E+03    0.990341E+01    0.349727E+01   -0.224283E+03    0.103161E+00   -0.372586E+00
      1735   -0.237740E+03    0.987434E+01    0.352470E+01   -0.224341E+03    0.102858E+00   -0.370064E+00
      1736   -0.237796E+03    0.984455E+01    0.355201E+01   -0.224400E+03    0.102547E+00   -0.367462E+00
      1737   -0.237852E+03    0.981410E+01    0.357922E+01   -0.224459E+03    0.102230E+00   -0.364780E+00
      1738   -0.237908E+03    0.978307E+01    0.360631E+01   -0.224518E+03    0.101907E+00   -0.362020E+00
      1739   -0.237963E+03    0.975151E+01    0.363328E+01   -0.224578E+03    0.101578E+00   -0.359182E+00
      1740   -0.238018E+03    0.971952E+01    0.366014E+01   -0.224638E+03    0.101245E+00   -0.356268E+00
      1741   -0.238073E+03    0.968715E+01    0.368687E+01   -0.224699E+03    0.100908E+00   -0.353279E+00
      1742   -0.238127E+03    0.965447E+01    0.371348E+01   -0.224760E+03    0.100567E+00   -0.375672E+00
      1743   -0.238182E+03    0.962157E+01    0.373997E+01   -0.224821E+03    0.100225E+00   -0.372925E+00
      1744   -0.238237E+03    0.958850E+01    0.376633E+01   -0.224882E+03    0.998802E-01   -0.370090E+00
      1745   -0.238292E+03    0.955535E+01    0.379256E+01   -0.224944E+03    0.995348E-01   -0.352904E+00
      1746   -0.238347E+03    0.952217E+01    0.381866E+01   -0.225006E+03    0.991892E-01   -0.350302E+00
      1747   -0.238402E+03    0.948904E+01    0.384463E+01   -0.225068E+03    0.988442E-01   -0.347620E+00
      1748   -0.238457E+03    0.945603E+01    0.387046E+01   -0.225131E+03    0.985003E-01   -0.343452E+00
      1749   -0.238513E+03    0.942320E+01    0.389617E+01   -0.225194E+03    0.981584E-01   -0.341263E+00
      1750   -0.238570E+03    0.939063E+01    0.392174E+01   -0.225257E+03    0.978191E-01   -0.338996E+00
      1751   -0.238626E+03    0.935838E+01    0.394718E+01   -0.225321E+03    0.974831E-01   -0.336651E+00
      1752   -0.238684E+03    0.932651E+01    0.397249E+01   -0.225385E+03    0.971511E-01   -0.334230E+00
      1753   -0.238742E+03    0.929508E+01    0.399766E+01   -0.225449E+03    0.968238E-01   -0.331732E+00
      1754   -0.238800E+03    0.926416E+01    0.402270E+01   -0.225513E+03    0.965017E-01   -0.317113E+00
      1755   -0.238860E+03    0.923381E+01    0.404761E+01   -0.225578E+03    0.961855E-01   -0.314436E+00
      1756   -0.238920E+03    0.920409E+01    0.407239E+01   -0.225643E+03    0.958759E-01   -0.311743E+00
      1757   -0.238981E+03    0.917504E+01    0.409704E+01   -0.225709E+03    0.955734E-01   -0.308981E+00
      1758   -0.239043E+03    0.914674E+01    0.412155E+01   -0.225774E+03    0.952785E-01   -0.306152E+00
      1759   -0.239105E+03    0.911922E+01    0.414595E+01   -0.225840E+03    0.949919E-01   -0.303257E+00
      1760   -0.239169E+03    0.909254E+01    0.417021E+01   -0.225906E+03    0.947140E-01   -0.300295E+00
      1761   -0.239234E+03    0.906675E+01    0.419435E+01   -0.225973E+03    0.944453E-01   -0.297270E+00
      1762   -0.239300E+03    0.904189E+01    0.421836E+01   -0.226040E+03    0.941863E-01   -0.294180E+00
      1763   -0.239367E+03    0.901800E+01    0.424226E+01   -0.226107E+03    0.939375E-01   -0.291028E+00
      1764   -0.239435E+03    0.899514E+01    0.426604E+01   -0.226174E+03    0.936993E-01   -0.287814E+00
      1765   -0.239504E+03    0.897332E+01    0.428969E+01   -0.226241E+03    0.934721E-01   -0.284539E+00
      1766   -0.239575E+03    0.895259E+01    0.431324E+01   -0.226309E+03    0.932562E-01   -0.281204E+00
      1767   -0.239647E+03    0.893299E+01    0.433667E+01   -0.226377E+03    0.930519E-01   -0.258758E+00
      1768   -0.239720E+03    0.891453E+01    0.435999E+01   -0.226445E+03    0.928597E-01   -0.255306E+00
      1769   -0.239794E+03    0.889725E+01    0.438320E+01   -0.226514E+03    0.926797E-01   -0.251807E+00
      1770   -0.239870E+03    0.888117E+01    0.440631E+01   -0.226583E+03    0.925122E-01   -0.248264E+00
      1771   -0.239947E+03    0.886631E+01    0.442932E+01   -0.226651E+03    0.923574E-01   -0.244678E+00
      1772   -0.240026E+03    0.885269E+01    0.445223E+01   -0.226721E+03    0.922155E-01   -0.241049E+00
      1773   -0.240105E+03    0.884032E+01    0.447505E+01   -0.226790E+03    0.920867E-01   -0.237380E+00
      1774   -0.240187E+03    0.882921E+01    0.449777E+01   -0.226860E+03    0.919710E-01   -0.229264E+00
      1775   -0.240269E+03    0.881938E+01    0.452040E+01   -0.226929E+03    0.918685E-01   -0.225861E+00
      1776   -0.240353E+03    0.881081E+01    0.454294E+01   -0.226999E+03    0.917793E-01   -0.222416E+00
      1777   -0.240439E+03    0.880352E+01    0.456540E+01   -0.227070E+03    0.917033E-01   -0.218931E+00
      1778   -0.240525E+03    0.879750E+01    0.458778E+01   -0.227140E+03    0.916406E-01   -0.202731E+00
      1779   -0.240613E+03    0.879274E+01    0.461008E+01   -0.227211E+03    0.915911E-01   -0.199290E+00
      1780   -0.240703E+03    0.878924E+01    0.463231E+01   -0.227281E+03    0.915546E-01   -0.206234E+00
      1781   -0.240794E+03    0.878699E+01    0.465447E+01   -0.227352E+03    0.915311E-01   -0.202519E+00
      1782   -0.240886E+03    0.878596E+01    0.467656E+01   -0.227424E+03    0.915204E-01   -0.198773E+00
      1783   -0.240980E+03    0.878613E+01    0.469858E+01   -0.227495E+03    0.915222E-01   -0.194995E+00
      1784   -0.241075E+03    0.878750E+01    0.472054E+01   -0.227567E+03    0.915364E-01   -0.191187E+00
      1785   -0.241171E+03    0.879002E+01    0.474245E+01   -0.227638E+03    0.915627E-01   -0.187350E+00
      1786   -0.241268E+03    0.879366E+01    0.476430E+01   -0.227710E+03    0.916007E-01   -0.183485E+00
      1787   -0.241367E+03    0.879841E+01    0.478609E+01   -0.227782E+03    0.916501E-01   -0.162830E+00
      1788   -0.241467E+03    0.880422E+01    0.480784E+01   -0.227854E+03    0.917106E-01   -0.158963E+00
      1789   -0.241567E+03    0.881105E+01    0.482954E+01   -0.227927E+03    0.917818E-01   -0.135240E+00
      1790   -0.241669E+03    0.881886E+01    0.485120E+01   -0.227999E+03    0.918631E-01   -0.131510E+00
      1791   -0.241773E+03    0.882761E+01    0.487281E+01   -0.228072E+03    0.919543E-01   -0.127787E+00
      1792   -0.241877E+03    0.883725E+01    0.489439E+01   -0.228145E+03    0.920547E-01   -0.135336E+00
      1793   -0.241982E+03    0.884773E+01    0.491593E+01   -0.228218E+03    0.921639E-01   -0.132028E+00
      1794   -0.242088E+03    0.885900E+01    0.493743E+01   -0.228291E+03    0.922813E-01   -0.128721E+00
      1795   -0.242195E+03    0.887101E+01    0.495891E+01   -0.228365E+03    0.924063E-01   -0.125414E+00
      1796   -0.242302E+03    0.888369E+01    0.498035E+01   -0.228438E+03    0.925385E-01   -0.106455E+00
      1797   -0.242411E+03    0.889700E+01    0.500177E+01   -0.228512E+03    0.926771E-01   -0.103192E+00
      1798   -0.242520E+03    0.891087E+01    0.502316E+01   -0.228586E+03    0.928216E-01   -0.999446E-01
      1799   -0.242629E+03    0.892524E+01    0.504453E+01   -0.228660E+03    0.929712E-01   -0.967143E-01
      1800   -0.242740E+03    0.894004E+01    0.506587E+01   -0.228734E+03    0.931254E-01   -0.754226E-01
      1801   -0.242850E+03    0.895522E+01    0.508719E+01   -0.228808E+03    0.932835E-01   -0.794293E-01
      1802   -0.242961E+03    0.897070E+01    0.510850E+01   -0.228882E+03    0.934448E-01   -0.763703E-01
      1803   -0.243073E+03    0.898642E+01    0.512979E+01   -0.228957E+03    0.936085E-01   -0.482457E-01
      1804   -0.243185E+03    0.900231E+01    0.515106E+01   -0.229031E+03    0.937740E-01   -0.328229E-01
      1805   -0.243297E+03    0.901830E+01    0.517231E+01   -0.229106E+03    0.939407E-01   -0.302587E-01
      1806   -0.243409E+03    0.903433E+01    0.519355E+01   -0.229181E+03    0.941076E-01   -0.277416E-01
      1807   -0.243521E+03    0.905033E+01    0.521477E+01   -0.229256E+03    0.942743E-01   -0.252721E-01
      1808   -0.243634E+03    0.906623E+01    0.523598E+01   -0.229332E+03    0.944399E-01   -0.523572E-02
      1809   -0.243746E+03    0.908195E+01    0.525717E+01   -0.229407E+03    0.946037E-01   -0.304472E-02
      1810   -0.243858E+03    0.909744E+01    0.527835E+01   -0.229482E+03    0.947650E-01   -0.911792E-03
      1811   -0.243970E+03    0.911262E+01    0.529952E+01   -0.229558E+03    0.949232E-01    0.116291E-02
      1812   -0.244082E+03    0.912744E+01    0.532067E+01   -0.229634E+03    0.950775E-01    0.317926E-02
      1813   -0.244193E+03    0.914181E+01    0.534181E+01   -0.229710E+03    0.952272E-01    0.165804E-01
      1814   -0.244304E+03    0.915568E+01    0.536293E+01   -0.229786E+03    0.953717E-01    0.179536E-01
      1815   -0.244415E+03    0.916899E+01    0.538403E+01   -0.229862E+03    0.955103E-01    0.192574E-01
      1816   -0.244525E+03    0.918167E+01    0.540512E+01   -0.229938E+03    0.956424E-01    0.204924E-01
      1817   -0.244635E+03    0.919367E+01    0.542619E+01   -0.230015E+03    0.957674E-01    0.216589E-01
      1818   -0.244744E+03    0.920493E+01    0.544725E+01   -0.230092E+03    0.958847E-01    0.227574E-01
      1819   -0.244852E+03    0.921539E+01    0.546828E+01   -0.230168E+03    0.959936E-01    0.237886E-01
      1820   -0.244960E+03    0.922499E+01    0.548929E+01   -0.230245E+03    0.960937E-01    0.303664E-01
      1821   -0.245066E+03    0.923370E+01    0.551027E+01   -0.230322E+03    0.961844E-01    0.313871E-01
      1822   -0.245172E+03    0.924145E+01    0.553124E+01   -0.230400E+03    0.962651E-01    0.323365E-01
      1823   -0.245277E+03    0.924821E+01    0.555217E+01   -0.230477E+03    0.963355E-01    0.411722E-01
      1824   -0.245382E+03    0.925393E+01    0.557308E+01   -0.230555E+03    0.963951E-01    0.414089E-01
      1825   -0.245485E+03    0.925857E+01    0.559395E+01   -0.230632E+03    0.964434E-01    0.415714E-01
      1826   -0.245587E+03    0.926209E+01    0.561480E+01   -0.230710E+03    0.964801E-01    0.416611E-01
      1827   -0.245688E+03    0.926447E+01    0.563560E+01   -0.230788E+03    0.965049E-01    0.416793E-01
      1828   -0.245788E+03    0.926566E+01    0.565637E+01   -0.230866E+03    0.965173E-01    0.416274E-01
      1829   -0.245887E+03    0.926565E+01    0.567710E+01   -0.230945E+03    0.965172E-01    0.415071E-01
      1830   -0.245985E+03    0.926440E+01    0.569779E+01   -0.231023E+03    0.965042E-01    0.413200E-01
      1831   -0.246082E+03    0.926191E+01    0.571843E+01   -0.231102E+03    0.964782E-01    0.410675E-01
      1832   -0.246178E+03    0.925814E+01    0.573902E+01   -0.231181E+03    0.964389E-01    0.418861E-01
      1833   -0.246272E+03    0.925309E+01    0.575956E+01   -0.231259E+03    0.963863E-01    0.410620E-01
      1834   -0.246365E+03    0.924674E+01    0.578005E+01   -0.231339E+03    0.963203E-01    0.401802E-01
      1835   -0.246458E+03    0.923910E+01    0.580048E+01   -0.231418E+03    0.962406E-01    0.454530E-01
      1836   -0.246548E+03    0.923015E+01    0.582085E+01   -0.231497E+03    0.961474E-01    0.500681E-01
      1837   -0.246638E+03    0.921990E+01    0.584116E+01   -0.231577E+03    0.960407E-01    0.310409E-01
      1838   -0.246727E+03    0.920836E+01    0.586140E+01   -0.231657E+03    0.959204E-01    0.293426E-01
      1839   -0.246814E+03    0.919552E+01    0.588158E+01   -0.231737E+03    0.957866E-01    0.276136E-01
      1840   -0.246900E+03    0.918140E+01    0.590168E+01   -0.231817E+03    0.956395E-01    0.258566E-01
      1841   -0.246985E+03    0.916601E+01    0.592170E+01   -0.231897E+03    0.954793E-01    0.206002E-01
      1842   -0.247069E+03    0.914937E+01    0.594165E+01   -0.231978E+03    0.953060E-01    0.181382E-01
      1843   -0.247152E+03    0.913151E+01    0.596151E+01   -0.232059E+03    0.951199E-01    0.156611E-01
      1844   -0.247233E+03    0.911244E+01    0.598130E+01   -0.232139E+03    0.949212E-01    0.102351E-01
      1845   -0.247314E+03    0.909219E+01    0.600099E+01   -0.232220E+03    0.947103E-01    0.706889E-02
      1846   -0.247393E+03    0.907079E+01    0.602059E+01   -0.232302E+03    0.944874E-01    0.389856E-02
      1847   -0.247471E+03    0.904828E+01    0.604010E+01   -0.232383E+03    0.942530E-01    0.727889E-03
      1848   -0.247549E+03    0.902469E+01    0.605952E+01   -0.232465E+03    0.940072E-01   -0.243934E-02
      1849   -0.247625E+03    0.900006E+01    0.607883E+01   -0.232546E+03    0.937506E-01   -0.559931E-02
      1850   -0.247701E+03    0.897443E+01    0.609804E+01   -0.232628E+03    0.934836E-01   -0.874821E-02
      1851   -0.247776E+03    0.894784E+01    0.611715E+01   -0.232711E+03    0.932066E-01   -0.118822E-01
      1852   -0.247849E+03    0.892033E+01    0.613615E+01   -0.232793E+03    0.929201E-01   -0.323000E-01
      1853   -0.247922E+03    0.889196E+01    0.615504E+01   -0.232875E+03    0.926246E-01   -0.352050E-01
      1854   -0.247995E+03    0.886278E+01    0.617382E+01   -0.232958E+03    0.923206E-01   -0.505701E-01
      1855   -0.248066E+03    0.883283E+01    0.619248E+01   -0.233041E+03    0.920086E-01   -0.537454E-01
      1856   -0.248137E+03    0.880217E+01    0.621103E+01   -0.233124E+03    0.916892E-01   -0.568742E-01
      1857   -0.248208E+03    0.877085E+01    0.622946E+01   -0.233207E+03    0.913630E-01   -0.599525E-01
      1858   -0.248278E+03    0.873893E+01    0.624777E+01   -0.233291E+03    0.910305E-01   -0.434793E-01
      1859   -0.248347E+03    0.870646E+01    0.626595E+01   -0.233375E+03    0.906923E-01   -0.470402E-01
      1860   -0.248416E+03    0.867351E+01    0.628401E+01   -0.233458E+03    0.903491E-01   -0.505479E-01
      1861   -0.248485E+03    0.864013E+01    0.630195E+01   -0.233542E+03    0.900013E-01   -0.714584E-01
      1862   -0.248553E+03    0.860638E+01    0.631975E+01   -0.233627E+03    0.896497E-01   -0.694499E-01
      1863   -0.248621E+03    0.857232E+01    0.633743E+01   -0.233711E+03    0.892950E-01   -0.740105E-01
      1864   -0.248689E+03    0.853801E+01    0.635497E+01   -0.233796E+03    0.889376E-01   -0.784996E-01
      1865   -0.248756E+03    0.850351E+01    0.637239E+01   -0.233880E+03    0.885782E-01   -0.829126E-01
      1866   -0.248824E+03    0.846888E+01    0.638967E+01   -0.233965E+03    0.882175E-01   -0.963115E-01
      1867   -0.248891E+03    0.843418E+01    0.640682E+01   -0.234050E+03    0.878560E-01   -0.100934E+00
      1868   -0.248959E+03    0.839947E+01    0.642383E+01   -0.234136E+03    0.874945E-01   -0.126804E+00
      1869   -0.249027E+03    0.836482E+01    0.644071E+01   -0.234221E+03    0.871335E-01   -0.134713E+00
      1870   -0.249095E+03    0.833027E+01    0.645746E+01   -0.234307E+03    0.867736E-01   -0.139723E+00
      1871   -0.249163E+03    0.829589E+01    0.647407E+01   -0.234393E+03    0.864155E-01   -0.144606E+00
      1872   -0.249231E+03    0.826173E+01    0.649054E+01   -0.234479E+03    0.860596E-01   -0.149357E+00
      1873   -0.249300E+03    0.822784E+01    0.650688E+01   -0.234565E+03    0.857067E-01   -0.160817E+00
      1874   -0.249369E+03    0.819429E+01    0.652308E+01   -0.234651E+03    0.853572E-01   -0.165317E+00
      1875   -0.249438E+03    0.816113E+01    0.653915E+01   -0.234738E+03    0.850118E-01   -0.169669E+00
      1876   -0.249508E+03    0.812840E+01    0.655508E+01   -0.234825E+03    0.846709E-01   -0.173869E+00
      1877   -0.249578E+03    0.809616E+01    0.657087E+01   -0.234911E+03    0.843350E-01   -0.177912E+00
      1878   -0.249649E+03    0.806445E+01    0.658653E+01   -0.234998E+03    0.840047E-01   -0.181795E+00
      1879   -0.249721E+03    0.803332E+01    0.660206E+01   -0.235086E+03    0.836804E-01   -0.185513E+00
      1880   -0.249793E+03    0.800282E+01    0.661746E+01   -0.235173E+03    0.833627E-01   -0.189065E+00
      1881   -0.249866E+03    0.797297E+01    0.663272E+01   -0.235260E+03    0.830518E-01   -0.192445E+00
      1882   -0.249940E+03    0.794384E+01    0.664785E+01   -0.235348E+03    0.827483E-01   -0.195651E+00
      1883   -0.250014E+03    0.791544E+01    0.666285E+01   -0.235436E+03    0.824525E-01   -0.198679E+00
      1884   -0.250089E+03    0.788782E+01    0.667773E+01   -0.235524E+03    0.821648E-01   -0.201528E+00
      1885   -0.250165E+03    0.786100E+01    0.669247E+01   -0.235612E+03    0.818854E-01   -0.204194E+00
      1886   -0.250242E+03    0.783502E+01    0.670709E+01   -0.235700E+03    0.816148E-01   -0.206675E+00
      1887   -0.250320E+03    0.780990E+01    0.672158E+01   -0.235789E+03    0.813532E-01   -0.208968E+00
      1888   -0.250399E+03    0.778567E+01    0.673595E+01   -0.235877E+03    0.811008E-01   -0.211072E+00
      1889   -0.250478E+03    0.776235E+01    0.675020E+01   -0.235966E+03    0.808578E-01   -0.206454E+00
      1890   -0.250559E+03    0.773995E+01    0.676432E+01   -0.236054E+03    0.806245E-01   -0.208130E+00
      1891   -0.250640E+03    0.771850E+01    0.677833E+01   -0.236143E+03    0.804010E-01   -0.209613E+00
      1892   -0.250723E+03    0.769799E+01    0.679222E+01   -0.236232E+03    0.801874E-01   -0.210902E+00
      1893   -0.250806E+03    0.767845E+01    0.680599E+01   -0.236322E+03    0.799839E-01   -0.211997E+00
      1894   -0.250890E+03    0.765988E+01    0.681965E+01   -0.236411E+03    0.797904E-01   -0.212897E+00
      1895   -0.250976E+03    0.764228E+01    0.683319E+01   -0.236500E+03    0.796071E-01   -0.213601E+00
      1896   -0.251062E+03    0.762566E+01    0.684663E+01   -0.236590E+03    0.794339E-01   -0.214109E+00
      1897   -0.251149E+03    0.761000E+01    0.685995E+01   -0.236679E+03    0.792708E-01   -0.214422E+00
      1898   -0.251238E+03    0.759531E+01    0.687317E+01   -0.236769E+03    0.791178E-01   -0.214539E+00
      1899   -0.251327E+03    0.758158E+01    0.688628E+01   -0.236859E+03    0.789748E-01   -0.214461E+00
      1900   -0.251417E+03    0.756880E+01    0.689928E+01   -0.236949E+03    0.788416E-01   -0.214189E+00
      1901   -0.251508E+03    0.755694E+01    0.691218E+01   -0.237039E+03    0.787182E-01   -0.213723E+00
      1902   -0.251600E+03    0.754601E+01    0.692498E+01   -0.237129E+03    0.786042E-01   -0.213064E+00
      1903   -0.251693E+03    0.753597E+01    0.693768E+01   -0.237219E+03    0.784997E-01   -0.212214E+00
      1904   -0.251787E+03    0.752680E+01    0.695028E+01   -0.237310E+03    0.784042E-01   -0.211175E+00
      1905   -0.251881E+03    0.751849E+01    0.696279E+01   -0.237400E+03    0.783176E-01   -0.209947E+00
      1906   -0.251977E+03    0.751099E+01    0.697520E+01   -0.237491E+03    0.782395E-01   -0.208534E+00
      1907   -0.252073E+03    0.750429E+01    0.698751E+01   -0.237581E+03    0.781697E-01   -0.206936E+00
      1908   -0.252170E+03    0.749835E+01    0.699973E+01   -0.237672E+03    0.781078E-01   -0.205156E+00
      1909   -0.252268E+03    0.749314E+01    0.701186E+01   -0.237763E+03    0.780535E-01   -0.203197E+00
      1910   -0.252366E+03    0.748862E+01    0.702390E+01   -0.237854E+03    0.780064E-01   -0.201060E+00
      1911   -0.252465E+03    0.748474E+01    0.703586E+01   -0.237945E+03    0.779661E-01   -0.198750E+00
      1912   -0.252565E+03    0.748148E+01    0.704772E+01   -0.238035E+03    0.779321E-01   -0.213863E+00
      1913   -0.252665E+03    0.747879E+01    0.705950E+01   -0.238127E+03    0.779041E-01   -0.217163E+00
      1914   -0.252765E+03    0.747663E+01    0.707119E+01   -0.238218E+03    0.778815E-01   -0.214799E+00
      1915   -0.252867E+03    0.747494E+01    0.708279E+01   -0.238309E+03    0.778639E-01   -0.212261E+00
      1916   -0.252968E+03    0.747368E+01    0.709432E+01   -0.238400E+03    0.778509E-01   -0.214264E+00
      1917   -0.253070E+03    0.747281E+01    0.710576E+01   -0.238491E+03    0.778418E-01   -0.211251E+00
      1918   -0.253172E+03    0.747227E+01    0.711711E+01   -0.238583E+03    0.778362E-01   -0.208070E+00
      1919   -0.253275E+03    0.747202E+01    0.712839E+01   -0.238674E+03    0.778335E-01   -0.204726E+00
      1920   -0.253377E+03    0.747199E+01    0.713958E+01   -0.238766E+03    0.778333E-01   -0.196496E+00
      1921   -0.253480E+03    0.747215E+01    0.715069E+01   -0.238857E+03    0.778349E-01   -0.192575E+00
      1922   -0.253583E+03    0.747243E+01    0.716173E+01   -0.238949E+03    0.778378E-01   -0.188508E+00
      1923   -0.253686E+03    0.747278E+01    0.717268E+01   -0.239040E+03    0.778415E-01   -0.184297E+00
      1924   -0.253789E+03    0.747315E+01    0.718355E+01   -0.239132E+03    0.778454E-01   -0.179949E+00
      1925   -0.253892E+03    0.747349E+01    0.719434E+01   -0.239224E+03    0.778488E-01   -0.175465E+00
      1926   -0.253994E+03    0.747373E+01    0.720505E+01   -0.239315E+03    0.778514E-01   -0.170852E+00
      1927   -0.254097E+03    0.747383E+01    0.721569E+01   -0.239407E+03    0.778524E-01   -0.166113E+00
      1928   -0.254199E+03    0.747374E+01    0.722624E+01   -0.239499E+03    0.778514E-01   -0.161252E+00
      1929   -0.254301E+03    0.747339E+01    0.723671E+01   -0.239591E+03    0.778478E-01   -0.155525E+00
      1930   -0.254403E+03    0.747273E+01    0.724710E+01   -0.239683E+03    0.778410E-01   -0.150588E+00
      1931   -0.254504E+03    0.747172E+01    0.725742E+01   -0.239775E+03    0.778304E-01   -0.145541E+00
      1932   -0.254604E+03    0.747030E+01    0.726765E+01   -0.239866E+03    0.778156E-01   -0.140389E+00
      1933   -0.254705E+03    0.746842E+01    0.727780E+01   -0.239958E+03    0.777960E-01   -0.135137E+00
      1934   -0.254804E+03    0.746603E+01    0.728786E+01   -0.240050E+03    0.777711E-01   -0.166145E+00
      1935   -0.254903E+03    0.746308E+01    0.729785E+01   -0.240142E+03    0.777404E-01   -0.160970E+00
      1936   -0.255002E+03    0.745953E+01    0.730775E+01   -0.240234E+03    0.777034E-01   -0.155688E+00
      1937   -0.255099E+03    0.745533E+01    0.731757E+01   -0.240326E+03    0.776596E-01   -0.150300E+00
      1938   -0.255196E+03    0.745043E+01    0.732731E+01   -0.240418E+03    0.776086E-01   -0.144812E+00
      1939   -0.255292E+03    0.744480E+01    0.733695E+01   -0.240510E+03    0.775500E-01   -0.139228E+00
      1940   -0.255387E+03    0.743839E+01    0.734652E+01   -0.240602E+03    0.774832E-01   -0.133550E+00
      1941   -0.255482E+03    0.743116E+01    0.735599E+01   -0.240695E+03    0.774080E-01   -0.127782E+00
      1942   -0.255575E+03    0.742309E+01    0.736538E+01   -0.240787E+03    0.773238E-01   -0.121928E+00
      1943   -0.255667E+03    0.741413E+01    0.737468E+01   -0.240879E+03    0.772305E-01   -0.115993E+00
      1944   -0.255759E+03    0.740425E+01    0.738388E+01   -0.240971E+03    0.771276E-01   -0.109978E+00
      1945   -0.255849E+03    0.739342E+01    0.739300E+01   -0.241063E+03    0.770148E-01   -0.103887E+00
      1946   -0.255938E+03    0.738161E+01    0.740202E+01   -0.241155E+03    0.768918E-01   -0.977246E-01
      1947   -0.256027E+03    0.736881E+01    0.741095E+01   -0.241247E+03    0.767584E-01   -0.805532E-01
      1948   -0.256114E+03    0.735498E+01    0.741979E+01   -0.241339E+03    0.766144E-01   -0.745897E-01
      1949   -0.256199E+03    0.734011E+01    0.742853E+01   -0.241431E+03    0.764595E-01   -0.685657E-01
      1950   -0.256284E+03    0.732418E+01    0.743717E+01   -0.241523E+03    0.762935E-01   -0.624842E-01
      1951   -0.256368E+03    0.730717E+01    0.744571E+01   -0.241615E+03    0.761164E-01   -0.563480E-01
      1952   -0.256450E+03    0.728908E+01    0.745416E+01   -0.241707E+03    0.759279E-01   -0.501601E-01
      1953   -0.256531E+03    0.726989E+01    0.746250E+01   -0.241799E+03    0.757280E-01   -0.470858E-01
      1954   -0.256611E+03    0.724960E+01    0.747074E+01   -0.241891E+03    0.755166E-01   -0.410455E-01
      1955   -0.256690E+03    0.722820E+01    0.747888E+01   -0.241982E+03    0.752937E-01   -0.349599E-01
      1956   -0.256767E+03    0.720569E+01    0.748691E+01   -0.242074E+03    0.750592E-01   -0.288317E-01
      1957   -0.256843E+03    0.718207E+01    0.749483E+01   -0.242166E+03    0.748133E-01   -0.226633E-01
      1958   -0.256918E+03    0.715736E+01    0.750265E+01   -0.242258E+03    0.745558E-01   -0.208161E-01
      1959   -0.256992E+03    0.713154E+01    0.751036E+01   -0.242350E+03    0.742869E-01   -0.148085E-01
      1960   -0.257064E+03    0.710465E+01    0.751796E+01   -0.242441E+03    0.740067E-01    0.446840E-02
      1961   -0.257135E+03    0.707668E+01    0.752544E+01   -0.242533E+03    0.737154E-01    0.992650E-02
      1962   -0.257205E+03    0.704765E+01    0.753282E+01   -0.242625E+03    0.734131E-01    0.154094E-01
      1963   -0.257274E+03    0.701759E+01    0.754008E+01   -0.242716E+03    0.730999E-01    0.209151E-01
      1964   -0.257341E+03    0.698651E+01    0.754723E+01   -0.242808E+03    0.727761E-01    0.264416E-01
      1965   -0.257408E+03    0.695443E+01    0.755426E+01   -0.242899E+03    0.724420E-01    0.319870E-01
      1966   -0.257473E+03    0.692138E+01    0.756117E+01   -0.242991E+03    0.720977E-01    0.375491E-01
